InvoiceNo,InvoiceDate,FwdInvoiceRefNo,StockReceiptDate,UOM,QtyCases,QtyUnits,Rate,Amount,TaxableAmount
701,02-10-2022,,02-10-2022,24,150,0,289.29,43392.86,43392.86
702,02-10-2022,,02-10-2022,30,53,0,428.57,22714.29,22714.29
703,02-10-2022,,02-10-2022,24,40,0,275,11000,11000
704,02-10-2022,,02-10-2022,24,100,0,267.86,26785.71,26785.71
705,02-10-2022,,02-10-2022,30,147,0,428.57,63000,63000
706,02-10-2022,,02-10-2022,24,80,0,275,22000,22000
707,02-10-2022,,02-10-2022,30,140,0,428.57,60000,60000
708,02-10-2022,,02-10-2022,24,170,0,255.08,43364.41,43364.41
709,02-10-2022,,02-10-2022,30,5,0,348.21,1741.07,1741.07
710,02-10-2022,,02-10-2022,24,40,0,546.79,21871.43,21871.43
711,02-10-2022,,02-10-2022,24,40,0,546.79,21871.43,21871.43
712,02-10-2022,,02-10-2022,30,10,0,330.36,3303.57,3303.57
713,02-10-2022,,02-10-2022,24,50,0,550.71,27535.71,27535.71
714,02-10-2022,,02-10-2022,30,300,0,351.43,105428.57,105428.57
715,02-10-2022,,02-10-2022,30,150,0,351.43,52714.29,52714.29
716,02-10-2022,,02-10-2022,30,100,0,351.43,35142.86,35142.86
717,02-10-2022,,02-10-2022,30,5,0,330.36,1651.79,1651.79
718,02-10-2022,,02-10-2022,24,100,0,136.43,13642.86,13642.86
719,02-10-2022,,02-10-2022,24,130,0,129.29,16807.14,16807.14
720,02-10-2022,,02-10-2022,30,20,0,330.36,6607.14,6607.14
721,02-10-2022,,02-10-2022,24,100,0,136.43,13642.86,13642.86
722,02-10-2022,,02-10-2022,24,100,0,136.43,13642.86,13642.86
723,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
724,02-10-2022,,02-10-2022,24,120,0,136.43,16371.43,16371.43
725,02-10-2022,,02-10-2022,12,5,0,930.36,4651.79,4651.79
726,02-10-2022,,02-10-2022,30,20,0,365.71,7314.29,7314.29
727,02-10-2022,,02-10-2022,30,190,0,365.71,69485.71,69485.71
728,02-10-2022,,02-10-2022,30,150,0,351.43,52714.29,52714.29
729,02-10-2022,,02-10-2022,30,280,0,351.43,98400,98400
730,02-10-2022,,02-10-2022,30,5,0,370.54,1852.68,1852.68
731,02-10-2022,,02-10-2022,30,20,0,370.54,7410.71,7410.71
